Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Team
124,T.J. McConnell,32.0,79,1,1415,324,624,0.519,15,49,0.306,309,575,0.537,0.531,57,77,0.74,44,149,193,351,83,21,109,79,720,0,,mccontj01,Indiana Pacers
125,Ben Sheppard,23.0,63,9,1228,120,287,0.418,68,199,0.342,52,88,0.591,0.537,24,27,0.889,44,133,177,85,38,14,22,125,332,0,,sheppbe01,Indiana Pacers
126,Jarace Walker,21.0,75,5,1187,170,360,0.472,75,185,0.405,95,175,0.543,0.576,46,69,0.667,25,204,229,110,54,25,78,115,461,0,,walkeja02,Indiana Pacers
127,Aaron Nesmith,25.0,45,37,1123,192,379,0.507,84,195,0.431,108,184,0.587,0.617,73,80,0.913,37,141,178,54,35,17,37,114,541,0,,nesmiaa01,Indiana Pacers
128,Thomas Bryant,27.0,56,8,848,151,293,0.515,42,131,0.321,109,162,0.673,0.587,44,53,0.83,77,142,219,49,27,32,28,67,388,0,,bryanth01,Indiana Pacers
129,Quenton Jackson,26.0,28,7,381,58,122,0.475,15,40,0.375,43,82,0.524,0.537,31,40,0.775,14,30,44,53,21,5,16,43,162,0,,jacksqu01,Indiana Pacers
130,Johnny Furphy,20.0,50,0,379,35,92,0.38,15,50,0.3,20,42,0.476,0.462,18,22,0.818,23,48,71,19,18,11,12,41,103,0,,furphjo01,Indiana Pacers
131,Enrique Freeman,24.0,22,1,181,16,37,0.432,1,10,0.1,15,27,0.556,0.446,13,19,0.684,11,19,30,9,3,3,6,21,46,0,,freemen01,Indiana Pacers
132,Tony Bradley,27.0,14,0,113,29,45,0.644,1,3,0.333,28,42,0.667,0.656,2,6,0.333,18,24,42,6,2,9,5,11,61,0,,bradlto01,Indiana Pacers
133,Isaiah Jackson,23.0,5,1,84,14,23,0.609,0,0,,14,23,0.609,0.609,7,14,0.5,11,17,28,5,3,8,5,14,35,0,,jacksis01,Indiana Pacers
134,RayJ Dennis,23.0,11,0,70,11,33,0.333,6,21,0.286,5,12,0.417,0.424,2,2,1.0,2,10,12,14,7,2,5,7,30,0,,dennira01,Indiana Pacers
135,Moses Brown,25.0,9,0,46,13,20,0.65,0,0,,13,20,0.65,0.65,3,5,0.6,4,9,13,0,2,1,6,6,29,0,,brownmo01,Indiana Pacers
136,James Johnson,37.0,12,0,37,4,11,0.364,0,3,0.0,4,8,0.5,0.364,0,1,0.0,0,6,6,4,0,2,4,5,8,0,,johnsja01,Indiana Pacers
137,Tristen Newton,23.0,5,0,8,1,6,0.167,0,3,0.0,1,3,0.333,0.167,1,1,1.0,0,0,0,1,0,0,1,2,3,0,,newtotr01,Indiana Pacers
138,James Wiseman,23.0,1,0,5,2,4,0.5,0,1,0.0,2,3,0.667,0.5,2,2,1.0,0,1,1,0,0,0,0,0,6,0,,wisemja01,Indiana Pacers
139,Jahlil Okafor,29.0,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0,0,,okafoja01,Indiana Pacers
