team,year,round,details
Miami Heat Future NBA Draft Picks,2027,First,1-14 Own; 15-30 to CHA 1
Miami Heat Future NBA Draft Picks,2027,Second,"Least favorable of MIA, OKC, HOU, IND and SAN; most favorable of MIA, OKC, HOU and IND to OKC; second and third most favorable to NYK; more favorable of (i) SAN and (ii) least favorable of MIA, OKC, HOU and IND to SAN (via MIA to OKC to UTH to SAN to MIA; via HOU to DET to OKC to NYK) 1"
Miami Heat Future NBA Draft Picks,2028,First,To CHA if not already settled 1
Miami Heat Future NBA Draft Picks,2028,Second,To DET if DAL conveys 1st round pick to CHA in 2027 or to CHA if DAL does not convey 1st round pick to CHA in 2027 [DET may convey to UTH] (via SAN to DAL) 0
Miami Heat Future NBA Draft Picks,2029,First,Own 1
Miami Heat Future NBA Draft Picks,2029,Second,To OKC 0
Miami Heat Future NBA Draft Picks,2030,First,Own 1
Miami Heat Future NBA Draft Picks,2030,Second,To OKC 0
Miami Heat Future NBA Draft Picks,2031,First,Own 1
Miami Heat Future NBA Draft Picks,2031,Second,More favorable of MIA and IND to WAS; more favorable of (i) MEM and (ii) less favorable of MIA and IND to MEM then least favorable of all to IND (via MIA swap for IND; via UTH to WAS; via MEM swap for IND or MIA) 0
Miami Heat Future NBA Draft Picks,2032,First,Own 1
Miami Heat Future NBA Draft Picks,2032,Second,Own 1
Milwaukee Bucks Future NBA Draft Picks,2026,First,Less favorable of MIL and NOP then other to ATL (via NOP swap for MIL) 1
Milwaukee Bucks Future NBA Draft Picks,2026,Second,"Most favorable of MIL, ORL and DET to BOS; second most favorable to ORL and least favorable to NYK (via MIL to ORL; via DET to LAC to ORL; via ORL to PHX to BRK to NYK) ; UTH 56-60 (via MIN to SAN) 1"
Milwaukee Bucks Future NBA Draft Picks,2027,First,More favorable of MIL and NOP to NOP then other to ATL if 5-30 or MIL and NOP to NOP if both 1-4 (via NOP) 0
Milwaukee Bucks Future NBA Draft Picks,2027,Second,To DET (via PHL) 0
Milwaukee Bucks Future NBA Draft Picks,2028,First,"Less favorable of (i) less favorable of MIL and POR 1-14 if POR has not conveyed 1st round pick to CHI by 2027 [or (i) MIL if POR not conveyable], and (ii) more favorable of (a) WAS and (b) least / less favorable of BRK, PHL 9-30 if PHL conveys 1st round pick to OKC in 2026, and PHX then more favorable of (i) and (ii) to WAS; or Less favorable of (i) less favorable of MIL and POR if POR has conveyed 1st round pick to CHI by 2027, and (ii) more favorable of (a) WAS and (b) least / less favorable of BRK, PHL 9-30 if PHL conveys 1st round pick to OKC in 2026, and PHX then more favorable of (i) and (ii) to WAS (via POR swap for MIL; via BRK swap of BRK or PHL for PHX; via WAS swap for PHX, BRK or PHL; via WAS swap of WAS, BRK, PHL or PHX for MIL or POR) 1"
Milwaukee Bucks Future NBA Draft Picks,2028,Second,To OKC (via BRK to HOU) 0
